,Channel,Watch time,Stream time,Hours streamed in 2020,Daily streamtime (hours),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
622,MenosTrece,242169495,115305,1921.75,5.265068493150685,8959,2099,792632,244994,8170920,True,False,Spanish
623,Mandzio,241202745,62730,1045.5,2.8643835616438356,14886,3844,445481,238166,7772966,True,False,Polish
624,Rush,241062465,75345,1255.75,3.4404109589041094,13573,3198,544862,34286,4439086,True,False,English
625,velox,240109740,110670,1844.5,5.053424657534246,10687,2169,354441,230698,3266720,True,False,Italian
626,cellinrj,240072360,147945,2465.75,6.755479452054795,7136,1622,293550,162931,5685866,True,False,Portuguese
627,Tomato,239727165,72945,1215.75,3.330821917808219,6480,3285,107190,38341,2691958,True,True,English
628,OgamingSC2,239378010,484185,8069.75,22.10890410958904,9180,493,110264,10494,13400774,True,False,French
629,Chica,239250765,85470,1424.5,3.9027397260273973,17998,2798,1591500,1014639,4509005,True,False,English
630,FEDMYSTER,239110590,23460,391.0,1.0712328767123287,35011,10191,609723,237128,4865096,True,False,English
631,Timmac,239027670,185445,3090.75,8.467808219178082,13500,1288,408774,30726,3890848,True,True,English
632,TEBtv,238359375,92085,1534.75,4.204794520547945,14723,2587,104111,88016,15325563,True,False,English
633,WeAreTheVR,236782965,77625,1293.75,3.5445205479452055,20851,3049,447450,95176,10740862,True,True,Hungarian
634,TrU3Ta1ent,236490360,109515,1825.25,5.000684931506849,10901,2158,622148,90633,5772818,True,False,English
635,xChocoBars,235897215,97050,1617.5,4.431506849315069,60017,2430,735357,189493,12448067,True,False,English
636,StreamieBR,235564170,347430,5790.5,15.864383561643836,3982,677,118832,95691,3660343,True,False,Portuguese
637,DessT3,235557075,96000,1600.0,4.383561643835616,10429,2453,180593,174590,4617104,True,True,Spanish
638,mount,234517125,114645,1910.75,5.234931506849315,27820,2045,385298,297155,6511779,True,False,Portuguese
639,FlexZ,233321100,139365,2322.75,6.3636986301369864,14278,1673,249783,211725,5189136,True,False,Spanish
640,CSRuHub,233166165,90885,1514.75,4.15,19344,2565,525318,65617,12289194,True,False,Russian
641,XEWER,232808400,185940,3099.0,8.490410958904109,6348,1251,486373,156226,5368344,True,False,French
642,다주 (dda_ju),232523235,114930,1915.5,5.247945205479452,18680,2022,228931,65278,6303550,True,False,Korean
643,大丸 (wtf_winds123),232382235,91710,1528.5,4.1876712328767125,11975,2533,270517,28640,10490056,True,False,Chinese
644,공혁준 (rhdgurwns),231997410,67890,1131.5,3.1,30773,3416,280817,40627,12432988,True,False,Korean
645,Crocodyle_lol,231826890,107115,1785.25,4.891095890410959,8810,2163,144248,84344,5195910,True,True,French
646,uhSnow,231563565,77955,1299.25,3.5595890410958906,7334,2969,140161,30373,2876935,True,True,English
647,Vovo,231539295,151485,2524.75,6.917123287671233,10395,1527,181314,124616,5511436,True,True,Portuguese
648,홍방장 (game2eye),231464100,123495,2058.25,5.639041095890411,9608,1873,187397,14472,6764321,True,False,Korean
649,BeBePtv,231421770,108255,1804.25,4.943150684931507,14739,2137,65997,21002,102263580,True,False,Russian
650,Alfie,231203490,181065,3017.75,8.267808219178082,15588,1276,191763,38245,3966416,True,False,English
651,WagamamaTV,230702130,193845,3230.75,8.851369863013698,7228,1189,320003,13918,3666413,True,False,English
652,Kotton,230461995,76650,1277.5,3.5,58818,3006,269672,62368,3783424,True,True,English
653,DownToQuest,230333505,515895,8598.25,23.556849315068494,20723,446,83646,35101,3053184,True,True,English
654,踢虧 (takesipon),230127075,113490,1891.5,5.182191780821918,8103,2027,71736,22263,5570242,True,False,Chinese
655,Kephrii,229971330,176010,2933.5,8.036986301369863,8709,1306,562333,75782,6110469,True,False,English
656,PatoPapao,229863450,93060,1551.0,4.249315068493151,11153,2469,694191,104374,7795338,True,False,Portuguese
657,PaymoneyWubby,229825455,33225,553.75,1.5171232876712328,33902,6916,412822,174755,2985573,True,False,English
658,Manyrin,229708935,93030,1550.5,4.247945205479452,17140,2468,485863,152391,10339826,True,False,Russian
659,Faah,229614900,344250,5737.5,15.719178082191782,4572,666,163264,152199,5886659,True,False,Portuguese
660,Criken,229270590,111015,1850.25,5.0691780821917805,25207,2064,298530,34378,4762198,True,True,English
661,OfficialAndyPyro,229228725,221775,3696.25,10.126712328767123,9676,1033,258399,17425,11392849,True,True,Finnish
662,gamelifeow,229114890,97710,1628.5,4.461643835616439,37939,2344,235610,167860,8907668,True,False,Russian
663,pimpimenta,229067580,162015,2700.25,7.397945205479452,20855,1413,861337,177370,10334574,True,False,Portuguese
664,VERNI_SHAVERMY,229028880,109995,1833.25,5.022602739726027,10373,2081,126607,123469,8814903,True,True,Russian
665,TopGamersAcademy,228102180,81615,1360.25,3.7267123287671233,43673,2794,341602,337154,9394557,True,False,Spanish
666,RiceGum,228058680,20400,340.0,0.9315068493150684,29173,11178,1021464,4563474,3849036,True,False,English
667,ThomeFN,227782245,106665,1777.75,4.870547945205479,24086,2134,318014,303005,7110591,True,False,Portuguese
668,StRoGo,227567250,32835,547.25,1.4993150684931507,45087,6930,383726,343456,10778679,True,False,Russian
669,VELLOSO,226762080,294750,4912.5,13.45890410958904,3176,768,62068,58335,2886577,True,False,Portuguese
670,나나양 (nanayango3o),226730730,124170,2069.5,5.66986301369863,7108,1825,173940,62687,5467111,True,False,Korean
671,zackrawrr,226557375,34020,567.0,1.5534246575342465,17387,6659,345083,309228,4970333,False,False,English
672,Xposed,226355865,133965,2232.75,6.117123287671233,8580,1689,346875,197045,3135470,True,True,English
673,momonkunn,226192245,55575,926.25,2.537671232876712,38266,4069,654267,637860,8293036,True,False,Spanish
674,スタンミ (sutanmi),226029630,87495,1458.25,3.995205479452055,6624,2582,60263,14309,3952586,True,False,Japanese
675,Mendo,225947835,103170,1719.5,4.710958904109589,25321,2189,623106,221207,5488960,True,True,English
676,Xiuder_,225857610,174225,2903.75,7.955479452054795,12542,1295,454621,338540,5088743,True,False,Italian
677,NiteNightKid,225518835,153345,2555.75,7.002054794520548,29228,1470,32682,13148,1862071,True,True,English
678,PG_Esports,224833260,98985,1649.75,4.51986301369863,26694,2270,130995,46305,13951083,True,False,Italian
679,WankilStudio,224202330,20505,341.75,0.9363013698630137,28866,10933,813022,268557,5839987,True,False,French
680,BruceDropEmOff,223974465,98310,1638.5,4.489041095890411,7738,2277,136880,79335,1645573,True,True,English
681,JustaMinx,223660050,79935,1332.25,3.65,36099,2797,882495,700695,7086564,True,False,English
682,_연두부_ (lovelyyeon),223024500,146505,2441.75,6.68972602739726,4282,1521,135111,90079,7551426,True,False,Korean
683,kutcherlol,222221325,153465,2557.75,7.007534246575342,6984,1447,237188,58567,6666650,True,False,German
684,Twitch,222131820,9435,157.25,0.43082191780821916,167520,23542,2016029,931851,46873011,True,False,English
685,Sev7n,221941785,290760,4846.0,13.276712328767124,31836,762,483899,226749,9608557,True,False,Portuguese
686,Cerbero_Podcast,221729760,59745,995.75,2.728082191780822,19298,3710,229964,89509,5594851,True,True,Italian
687,Mushway,221576655,75840,1264.0,3.463013698630137,9611,2921,375144,224230,4025317,True,True,French
688,KamoLRF,221362425,65730,1095.5,3.0013698630136987,18282,3367,726131,155440,4770910,True,False,German
689,Strippin,221242170,120555,2009.25,5.504794520547946,9127,1834,299175,16512,3184451,True,False,English
690,Alderiate,221181600,61095,1018.25,2.7897260273972604,12799,3619,353225,70715,5691857,True,False,French
691,Kubon_,220573110,160395,2673.25,7.323972602739726,9545,1374,276518,23591,7183890,True,False,Polish
692,xTheSolutionTV,220478670,93945,1565.75,4.28972602739726,12454,2346,380016,121698,3423489,True,False,German
693,Walid,220182300,90660,1511.0,4.13972602739726,19603,2428,310429,252858,4486413,True,False,French
694,Kurumx,220181610,118290,1971.5,5.401369863013699,16413,1860,57330,39947,2765989,True,False,English
695,Wardiii,220150980,107565,1792.75,4.911643835616438,9459,2046,83532,33909,4078727,True,False,English
696,RTGameCrowd,219886380,47190,786.5,2.154794520547945,20354,4659,954086,331169,5879138,True,False,English
697,WillerZ,219876885,144285,2404.75,6.588356164383562,32307,1523,130681,97175,3450975,True,True,English
698,QuarterJade,219332670,60105,1001.75,2.7445205479452053,28435,3648,560347,340692,7081553,True,False,English
699,Naowh,219150120,132945,2215.75,6.07054794520548,11693,1647,144760,64884,6109512,True,False,English
700,FifaTargrean,219126255,163635,2727.25,7.471917808219178,5538,1338,416748,49089,7695237,True,False,Thai
701,소풍왔니 (yumyumyu77),218925300,65280,1088.0,2.9808219178082194,17578,3353,314312,22848,11279114,True,False,Korean
702,aircool,218420835,147105,2451.75,6.717123287671233,22760,1484,226057,173608,2652144,True,False,English
703,Alinity,218093790,88995,1483.25,4.063698630136987,17341,2450,1291941,1671,74055,True,False,English
704,hardgamechannel,218086755,31695,528.25,1.4472602739726028,27529,6880,793410,159873,6589119,True,False,Russian
705,Heelmike,218029155,87735,1462.25,4.006164383561644,18963,2484,4860398,2781781,3699510,True,True,English
706,Mazarin1k,217391850,204885,3414.75,9.355479452054794,9605,1060,208689,67526,10269858,True,False,Czech
707,icebergdoto,216160245,45930,765.5,2.0972602739726027,16441,4705,220709,105235,7121469,True,False,Russian
708,NairoMK,215572935,63615,1060.25,2.904794520547945,22074,3388,339545,45070,3846135,True,False,English
709,Faux,214835730,153690,2561.5,7.017808219178082,15167,1397,251403,31726,3695068,True,True,English
710,LotharHS,214832250,162675,2711.25,7.428082191780822,14561,1320,258759,139081,7763068,True,False,English
711,bebe872,214751010,221625,3693.75,10.11986301369863,5383,968,94277,51877,2625316,True,False,English
712,DuelLinksMeta,214538010,81915,1365.25,3.7404109589041097,7562,2618,105868,37455,11773504,True,False,English
713,SaltyTeemo,214490280,520785,8679.75,23.78013698630137,1803,411,175533,15423,1546584,False,False,English
714,Kaydop,214314675,63795,1063.25,2.913013698630137,32786,3359,394169,267537,5292598,True,False,French
715,Videoyun,214126065,127545,2125.75,5.823972602739726,16824,1678,458246,137454,11539188,True,False,Turkish
716,runitup247,213370200,487440,8124.0,22.257534246575343,1182,437,104275,29582,2618889,True,False,English
717,Fairlight_Excalibur,212810160,175395,2923.25,8.008904109589041,19156,1212,406585,-3825,1622184,True,False,English
718,csgomc_ru2,212805540,80265,1337.75,3.665068493150685,90722,2650,181623,185165,13051837,True,False,Russian
719,StreamerHouse,212768385,497625,8293.75,22.722602739726028,12609,427,633890,6877,2865671,True,False,English
720,금사향 (sah_yang),212506620,109485,1824.75,4.999315068493151,7143,1940,223966,93351,7994004,True,False,Korean
721,luke4316live,212402340,246180,4103.0,11.241095890410959,3233,862,179124,37992,5090459,True,False,Italian
722,qSnake,212147205,160335,2672.25,7.321232876712329,4858,1322,223598,31720,5907232,True,False,Russian
723,cdewx,211927830,130065,2167.75,5.939041095890411,13978,1628,406980,32755,5600239,True,False,English
724,Frankkaster,211498140,40485,674.75,1.8486301369863014,49127,5223,912018,413321,8736221,True,True,Spanish
725,Rubini,211376025,160200,2670.0,7.315068493150685,5354,1319,112492,35394,6922136,True,True,Portuguese
726,skill4ltu,211354425,121935,2032.25,5.567808219178082,10325,1732,161305,53870,4776717,True,True,English
727,caps,210949455,17385,289.75,0.7938356164383562,33629,12133,565486,290173,6810590,True,False,English
728,Kiwo,210480945,220935,3682.25,10.088356164383562,6374,952,303577,25075,3716709,True,True,English
729,핑맨 (95pingman),210029730,62730,1045.5,2.8643835616438356,26738,3347,215620,112363,4547520,True,False,Korean
730,dinablin,209564430,70155,1169.25,3.2034246575342467,29316,2986,383267,324116,14834684,True,False,Russian
731,繽紛電影台 (franchiseglobalart),209259585,286410,4773.5,13.078082191780823,4291,730,45516,45271,5691596,True,True,Chinese
732,AnniTheDuck,208661805,60000,1000.0,2.73972602739726,13949,3477,596331,289925,8212853,True,True,German
733,1DrakoNz,207857475,118260,1971.0,5.4,13559,1757,466578,228116,6232763,True,True,Portuguese
734,CrReaM,207807525,145380,2423.0,6.638356164383562,9887,1428,170890,8819,2104059,True,True,English
735,brax,207689925,27795,463.25,1.2691780821917809,28736,7472,581727,274993,4656320,True,False,English
736,SovietWomble,207310185,65190,1086.5,2.9767123287671233,11339,3179,1439556,205828,6340369,True,True,English
737,HellYeahPlay,206973930,118875,1981.25,5.428082191780822,3946,1740,161199,36055,6427137,True,False,Russian
738,KarasMai,206770110,131970,2199.5,6.026027397260274,5667,1566,341040,149638,4391492,True,False,English
739,Sweet_Anita,206304630,62415,1040.25,2.85,21594,3304,1532640,845606,10595431,True,True,English
740,IrmanPlay,206081310,44640,744.0,2.0383561643835617,17697,4616,242102,221676,3342905,False,False,Russian
741,Dyrus,205462905,167745,2795.75,7.659589041095891,11338,1224,1480898,11023,4573995,True,True,English
742,sacy,205270635,136935,2282.25,6.252739726027397,10692,1498,262568,167301,5991100,True,True,Portuguese
743,Joueur_du_Grenier,204891930,28545,475.75,1.3034246575342465,121267,7177,507034,258731,6017866,True,True,French
744,TSM_Viss,204738435,98025,1633.75,4.476027397260274,24932,2088,774621,45303,6298497,True,False,English
745,oestagiario,204618585,127035,2117.25,5.800684931506849,9906,1610,113542,79474,2218508,True,True,Portuguese
746,JASONR,204602745,197280,3288.0,9.008219178082191,33902,1036,793967,112515,6201642,True,False,English
747,FORMAL,204522165,88455,1474.25,4.039041095890411,11768,2311,561631,103967,2913112,True,False,English
748,Bawkbasoup,204476400,133185,2219.75,6.081506849315068,7853,1534,103614,29682,2690364,True,True,English
749,AgenteMaxo,204284370,40770,679.5,1.8616438356164384,33061,5010,612333,494951,6679802,True,False,Spanish
750,ChilledChaos,204081135,81120,1352.0,3.7041095890410958,23613,2515,315207,115607,3200204,True,False,English
751,saintvicious,204059400,151860,2531.0,6.934246575342466,5187,1343,250187,18624,2537340,True,False,English
752,Im_Dontai,203823660,55230,920.5,2.521917808219178,18767,3690,588073,501015,2479096,True,False,English
753,견자희 (wkgml),203580045,83565,1392.75,3.8157534246575344,12999,2435,468150,152782,7554457,True,False,Korean
754,六希夫 (qttsix),203495115,150360,2506.0,6.865753424657535,9671,1353,124910,20549,7817133,True,False,Chinese
755,SparkofPhoenixTV,203393130,97035,1617.25,4.4308219178082195,11799,2095,599651,189678,4577698,True,False,German
756,Crown,202918650,4830,80.5,0.22054794520547946,152397,42011,19362,15269,67621853,True,False,English
757,Pelegrino1993,202315545,147075,2451.25,6.715753424657534,10337,1375,112953,72776,2496347,True,False,Portuguese
758,ElOjoNinja,202112910,89745,1495.75,4.097945205479452,12786,2251,363418,175958,7433113,True,False,Spanish
759,ipav999,201745680,251745,4195.75,11.495205479452055,2536,800,189387,95320,4308889,True,False,English
760,龜狗 (gueigotv),201265650,121605,2026.75,5.552739726027397,9918,1654,178339,27938,6025035,True,True,Chinese
761,tarik,201188925,61365,1022.75,2.802054794520548,50415,3278,800276,174304,9625965,True,False,English
762,hexy,200447475,87585,1459.75,3.999315068493151,25585,2288,356534,32148,3265860,True,False,English
763,swimstrim,200420805,108390,1806.5,4.949315068493151,29991,1848,150274,70092,7348090,True,False,English
764,VaporaDark,200153055,82140,1369.0,3.750684931506849,6444,2436,109453,27375,8954815,True,False,English
765,자동 (tranth),200071095,139455,2324.25,6.367808219178082,7675,1434,87462,7645,5326317,True,False,Korean
766,Masayoshi,199946625,92910,1548.5,4.242465753424658,20767,2151,296000,228978,4251180,True,False,English
767,BikeMan,199724490,131445,2190.75,6.002054794520548,13772,1518,267005,8833,3471946,True,True,English
768,NBA2KLeague,199645275,30180,503.0,1.378082191780822,48495,6614,146650,42951,82589845,True,False,English
769,NiceWigg,199414890,131955,2199.25,6.0253424657534245,11448,1510,238522,111210,2980758,True,False,English
770,MaTaFe_,199291500,144045,2400.75,6.5773972602739725,8535,1383,145030,106953,5500624,True,True,English
771,Tourva,199250775,123960,2066.0,5.66027397260274,17114,1606,542650,398667,10514320,True,False,English
772,Low4n,198969015,154305,2571.75,7.045890410958904,13003,1288,146319,76906,2350096,True,True,French
773,Becca,198949350,113415,1890.25,5.178767123287671,93254,1753,371567,43356,8171156,True,False,English
774,HAchubby,198868095,75750,1262.5,3.458904109589041,10552,2624,259681,105233,4606943,True,False,English
775,julien,198489975,79545,1325.75,3.632191780821918,15150,2494,607380,221013,4021876,True,False,English
776,GothamChess,197935470,94995,1583.25,4.337671232876712,16731,2083,248770,178994,13099578,True,False,English
777,Patriota,197587035,88110,1468.5,4.023287671232877,29435,2242,831660,465846,6108760,True,False,Portuguese
778,햇살살 (hatsalsal),196911600,120075,2001.25,5.482876712328767,3949,1639,85070,27086,7121406,True,False,Korean
779,GENSYXA,196796220,61125,1018.75,2.791095890410959,40832,3218,566110,458465,15510763,True,True,Russian
780,Crowder,196725675,129000,2150.0,5.890410958904109,24818,1524,235882,157229,2912213,True,False,English
781,ItsSlikeR,196692030,100050,1667.5,4.568493150684931,18956,1965,370491,165212,5038740,True,False,English
782,itsRyanHiga,196348845,82620,1377.0,3.7726027397260276,14590,2376,421253,389690,4706254,False,False,English
783,Posty,196015380,137970,2299.5,6.3,20158,1420,223366,135503,4528692,True,False,English
784,SoloRenektonOnly,195914715,116880,1948.0,5.336986301369863,5026,1675,412424,60565,4279372,True,False,English
785,erobb221,195809805,96780,1613.0,4.419178082191781,8747,2022,260359,74599,2558381,True,False,English
786,Sologesang,195802665,145170,2419.5,6.6287671232876715,4617,1348,75770,33731,4483268,True,False,German
787,Xnapycz,195363285,97365,1622.75,4.445890410958904,9641,2005,124862,56517,6674483,True,True,Czech
788,Sapnap,195197190,13050,217.5,0.5958904109589042,60584,14957,1268063,1163514,3857983,True,False,English
789,Paoloidolo,195078570,134970,2249.5,6.163013698630137,7659,1444,219079,75406,5970244,True,False,Italian
790,Thebausffs,194726730,85665,1427.75,3.9116438356164385,18463,2272,237636,198256,4621638,True,False,English
791,ZLOYn,194718420,62520,1042.0,2.8547945205479452,25801,3113,429501,389521,11516277,True,False,Russian
792,olyashaa,194603280,83385,1389.75,3.8075342465753423,11357,2333,613181,144398,14709283,True,False,Russian
793,grafo,194277810,124740,2079.0,5.695890410958904,8538,1557,459253,185664,6163813,True,False,Spanish
794,dopa24,193320825,20580,343.0,0.9397260273972603,44307,9393,448049,414069,6733280,True,False,Korean
795,恭一郎 (dmf_kyochan),193045095,197025,3283.75,8.996575342465754,7786,979,77313,46276,3384491,True,False,Japanese
796,러너교 (runner0608),192932265,94905,1581.75,4.333561643835616,14054,2032,188875,27511,6289197,True,False,Korean
797,Kamikatze,192826305,128730,2145.5,5.8780821917808215,8509,1497,118757,32449,5912511,True,False,German
798,okyyy,192681855,36105,601.75,1.6486301369863015,76741,5336,529737,470033,5352414,True,False,Spanish
799,코렛트 (collet11),192513120,142440,2374.0,6.504109589041096,5363,1351,237378,68468,6704087,True,False,Korean
800,rhobalas_lol,191612295,162510,2708.5,7.420547945205479,9235,1178,132401,79931,4538790,True,False,French
801,Limmy,191407440,98205,1636.75,4.484246575342466,6575,1948,277776,148220,2955579,True,True,English
802,Sintica,191294220,113040,1884.0,5.161643835616438,16364,1691,205534,116491,8283784,True,True,German
803,DougisRaw,190759740,163425,2723.75,7.462328767123288,22641,1166,150985,78631,3207304,True,True,English
804,JLAmaru,190695420,99690,1661.5,4.552054794520548,9099,1912,140246,104754,3213349,True,False,French
805,ESL_CSGO_FR,190543335,80265,1337.75,3.665068493150685,30039,2373,207674,32798,6465007,True,False,French
806,CalebDMTG,190230465,123645,2060.75,5.645890410958904,3683,1537,73223,6520,1443985,True,False,English
807,LPMassive,189846570,88890,1481.5,4.058904109589041,10093,2135,328447,13603,2507829,True,False,German
808,ImMarksman,189430800,68115,1135.25,3.1102739726027395,12539,2780,697607,197890,1850251,True,False,English
809,BigSpinCR,189139995,109905,1831.75,5.0184931506849315,21815,1720,203726,76625,4534190,True,False,German
810,primeleague,189105930,44910,748.5,2.0506849315068494,24106,4210,84505,79632,8782606,False,False,German
811,Crayator,188962815,86040,1434.0,3.9287671232876713,5717,2195,681991,212100,5581181,True,False,English
812,Delux,188895000,105885,1764.75,4.8349315068493155,8238,1783,344119,186867,3426187,True,False,Italian
813,rewinside,188786640,53640,894.0,2.4493150684931506,24335,3518,1455964,345140,5404683,True,False,German
814,Mmorpg,188499825,187500,3125.0,8.561643835616438,6609,1004,243166,19074,3342187,True,False,English
815,Wingsofdeath,188434185,145680,2428.0,6.652054794520548,6019,1293,473029,-846,2254653,True,False,English
816,theRealShooKon3,188356155,147300,2455.0,6.726027397260274,6148,1278,145048,37365,3037160,True,True,English
817,Popo,187473375,52110,868.5,2.3794520547945206,31521,3597,232116,197533,4101105,True,False,Polish
818,makataO,187102860,177975,2966.25,8.126712328767123,12292,1050,415335,132952,7800552,True,False,Russian
819,Worrun_,187100160,77400,1290.0,3.5342465753424657,41881,2416,165156,92652,3152002,True,True,English
820,IFrostBolt,187019850,178995,2983.25,8.173287671232877,11026,1044,239355,113089,3301850,True,False,English
821,EAMaddenNFL,186788445,20625,343.75,0.9417808219178082,57179,9056,309421,109326,5493858,False,False,English
822,SheriffEli,185833005,132930,2215.5,6.0698630136986305,5988,1397,268825,10222,2299217,True,True,English
823,10000DAYS,185156745,156555,2609.25,7.148630136986301,11193,1182,398485,156222,11064391,True,False,Turkish
824,AdzTV,185012070,136800,2280.0,6.2465753424657535,10896,1352,527056,165682,4172155,True,False,French
825,Drjayfisto,184525230,163200,2720.0,7.4520547945205475,6655,1130,159951,50504,5939496,True,True,English
826,재슥짱 (pikra10),184470570,122685,2044.75,5.602054794520548,5921,1503,105774,59490,4081537,True,False,Korean
827,GN_GG,184444005,98055,1634.25,4.477397260273973,4859,1880,97764,18284,4244659,True,False,Russian
828,bazattak007,184234095,87240,1454.0,3.9835616438356163,11217,2111,527795,406852,5797608,True,False,Spanish
829,repazmois,184075335,132255,2204.25,6.039041095890411,14290,1391,487794,230691,3171958,True,False,German
830,TheRealMarzaa,183999870,97350,1622.5,4.445205479452055,12525,1889,666043,332124,3589724,True,False,Italian
831,Speedrun,183881745,499470,8324.5,22.806849315068494,16604,367,103422,40809,17201347,True,False,English
832,MarcaoRX,183846915,149595,2493.25,6.830821917808219,4914,1228,166594,47562,2435000,True,True,Portuguese
833,Kiyoon,183086625,96510,1608.5,4.406849315068493,7430,1896,70926,67330,2143970,True,False,English
834,AlpTV,183028050,33120,552.0,1.5123287671232877,33059,5525,624551,276227,6158623,True,False,Turkish
835,MoCbka34,182797155,255735,4262.25,11.677397260273972,4431,714,43829,36158,1309397,True,False,Russian
836,unsympathisch_tv,182664000,39990,666.5,1.826027397260274,27620,4567,657538,443466,4590059,True,True,German
837,RocKy_,182316630,47205,786.75,2.1554794520547946,26208,3861,265062,120788,2163333,True,False,French
838,Lapi,181847385,178140,2969.0,8.134246575342466,3917,1020,145721,21531,7207792,True,False,French
839,Dendi,181843320,42180,703.0,1.926027397260274,14163,4310,768415,89438,6969421,True,False,English
840,karavay46,181342320,32790,546.5,1.4972602739726026,48331,5530,449729,352801,11385702,True,False,Russian
841,Draineo,181184925,153900,2565.0,7.027397260273973,15611,1176,97816,52658,3396591,True,False,English
842,robcdee,181130400,162060,2701.0,7.4,4297,1117,119746,97103,4824068,True,False,English
843,Japczan,180891270,87135,1452.25,3.978767123287671,13100,2075,232766,206198,4336432,True,False,Polish
844,케인 (kanetv8),180334905,128490,2141.5,5.867123287671233,7239,1402,160492,43191,7710352,True,False,Korean
845,Maghla,179984415,69285,1154.75,3.1636986301369863,37407,2597,454321,260604,8007138,True,True,French
846,SoyPan,179558295,144405,2406.75,6.593835616438356,13884,1243,436056,222243,3086026,True,False,Spanish
847,Dekarldent,178866900,70425,1173.75,3.2157534246575343,6140,2539,69599,29617,2082273,True,False,German
848,BananaSlamJamma,178861950,135045,2250.75,6.166438356164384,5152,1324,195065,36008,2833790,True,True,English
849,LobosJr,178578105,124515,2075.25,5.685616438356164,12709,1433,388283,30288,3649063,True,True,English
850,gafallen,178362060,27000,450.0,1.2328767123287672,27326,6605,1141497,305385,8884098,True,False,Portuguese
851,FlowPodcast,178331175,77685,1294.75,3.547260273972603,60602,2295,845259,791149,6619142,True,False,Portuguese
852,GhostFreak66,178034490,111645,1860.75,5.097945205479452,94791,1594,131563,77556,2178422,True,True,English
853,ThaldrinLol,177858405,117765,1962.75,5.377397260273972,11305,1509,554844,101664,7789593,True,False,Turkish
854,Meikodboy_,177549495,102705,1711.75,4.68972602739726,10985,1728,293198,197346,2358936,True,False,Portuguese
855,berkriptepe,177475170,28485,474.75,1.3006849315068494,24573,6230,715159,331368,6183430,True,False,Turkish
856,AussieAntics,177142740,137895,2298.25,6.296575342465753,22514,1284,263185,201698,6208500,True,False,English
857,twitchgaming,177033750,9975,166.25,0.4554794520547945,123325,17747,430768,403279,35963627,True,False,English
858,Monstercat,176965140,521520,8692.0,23.813698630136987,14261,338,804127,35266,4620471,True,False,English
859,Bidule,176669985,59025,983.75,2.6952054794520546,10100,2992,115164,73739,3252114,False,True,French
860,Opat04,176439720,79320,1322.0,3.621917808219178,8803,2223,194885,86899,5434121,True,False,Czech
861,NoctisAK47,176352390,153075,2551.25,6.989726027397261,10964,1151,87450,34713,6041440,True,True,Thai
862,DeuceAce,176279880,33240,554.0,1.5178082191780822,18482,5302,94056,64357,2360697,False,True,English
863,oKINGBR,176261880,104160,1736.0,4.756164383561644,14660,1691,423302,345538,6000468,True,False,Portuguese
864,中信兄弟官方頻道 (brothers_baseball),175917750,30795,513.25,1.4061643835616437,50359,5712,63663,61394,9153688,True,False,Chinese
865,감블러 (9ambler),175788075,107520,1792.0,4.909589041095891,11279,1634,157187,66813,4205187,True,False,Korean
866,Arex,175656600,175005,2916.75,7.991095890410959,7565,1003,146730,23113,3350942,True,False,English
867,Igromania,175648440,161460,2691.0,7.372602739726028,5766,1087,184078,8615,105770702,True,False,Russian
868,MrBboy45,175542540,105195,1753.25,4.803424657534246,9408,1668,337795,56689,5838912,True,False,French
869,TSM_TheOddOne,175425885,192585,3209.75,8.793835616438356,3818,910,853569,-22069,4873391,True,False,English
870,ZONY,175332585,143190,2386.5,6.538356164383561,4577,1224,381037,193205,4266742,True,False,Polish
871,iateyourpie,175053465,180345,3005.75,8.234931506849316,10962,970,123341,2748,3524177,True,False,English
872,태준이 (dlxowns45),174957000,80040,1334.0,3.654794520547945,10549,2185,359065,112145,5898609,True,False,Korean
873,elevensportstw,174816495,36555,609.25,1.6691780821917808,27245,4781,47917,43635,6367312,True,False,Chinese
874,Cr1tdota,173991630,63585,1059.75,2.9034246575342464,9433,2735,163346,74798,4311148,True,False,English
875,agurin,173539515,143085,2384.75,6.5335616438356166,4405,1212,103811,62585,3778379,True,False,German
876,MrSoki,173352690,70665,1177.75,3.2267123287671233,15093,2452,393085,305341,4621404,True,False,Spanish
877,Hayashii,173242350,41025,683.75,1.8732876712328768,64020,4222,265425,136328,2932675,True,True,Portuguese
878,MateoZ,173210955,146385,2439.75,6.684246575342466,7988,1182,504360,449222,7413455,True,False,Spanish
879,Spraggy,172145100,100440,1674.0,4.586301369863014,30415,1713,112037,38145,3879973,True,False,English
880,BoarControlHS,172109310,144450,2407.5,6.595890410958904,4150,1191,82450,33477,2941817,True,False,English
881,DarkarCompany,171542010,395295,6588.25,18.05,5857,433,720007,408172,22287346,True,False,Spanish
882,Kandyland,171420630,87525,1458.75,3.9965753424657535,18908,1957,414665,139135,11477963,True,True,English
883,무굴 (moogrr1211),171403455,188730,3145.5,8.617808219178082,13982,907,45498,11213,3205302,True,False,Korean
884,CoconutB,171376140,126825,2113.75,5.791095890410959,10120,1350,280902,78420,3199915,True,True,English
885,Back2Warcraft,171356295,91620,1527.0,4.183561643835616,8708,1869,101728,17890,3889728,True,False,English
886,richwcampbell,171062940,69690,1161.5,3.182191780821918,42657,2454,199538,141476,3620648,True,False,English
887,超負荷 (sam1268),171018855,38190,636.5,1.7438356164383562,11861,4477,160621,16345,5446203,True,True,Chinese
